# alpha_func, r_func, r_func_der, b_func, b_func_der, n_func
9.000000000000000222e-01,7.684008970854844245e-02,9.956829487479079699e-01,1.215705811510852108e-01,1.570125401564259171e+00,6.192639414190610845e-04
9.000000000000000222e-01,7.783574124197682742e-02,9.956200860213270110e-01,1.231407065526497480e-01,1.570125401564259171e+00,6.185930162387585658e-04
9.000000000000000222e-01,7.883132981628694635e-02,9.955570303823442213e-01,1.247108319542138410e-01,1.570125401564259171e+00,6.179220910584562639e-04
9.000000000000000222e-01,7.982685523817809048e-02,9.954937810531007125e-01,1.262809573557781562e-01,1.570125401564259171e+00,6.172511658781539619e-04
9.000000000000000222e-01,8.082231731356914750e-02,9.954303372518781279e-01,1.278510827573422493e-01,1.570125401564259171e+00,6.165802406978516600e-04
9.000000000000000222e-01,8.181771584759599258e-02,9.953666981930746616e-01,1.294212081589067864e-01,1.570125401564259171e+00,6.159093155175493581e-04
9.000000000000000222e-01,8.281305064460635357e-02,9.953028630871825211e-01,1.309913335604708795e-01,1.570125401564259171e+00,6.152383903372470562e-04
9.000000000000000222e-01,8.380832150815700765e-02,9.952388311407651678e-01,1.325614589620351946e-01,1.570125401564259171e+00,6.145674651569445375e-04
9.000000000000000222e-01,8.480352824100867437e-02,9.951746015564342240e-01,1.341315843635992877e-01,1.570125401564259171e+00,6.138965399766422356e-04
9.000000000000000222e-01,8.579867064512350372e-02,9.951101735328270470e-01,1.357017097651638249e-01,1.570125401564259171e+00,6.132256147963399337e-04
9.000000000000000222e-01,8.679374852165949727e-02,9.950455462645811933e-01,1.372718351667279180e-01,1.570125401564259171e+00,6.125546896160376318e-04
9.000000000000000222e-01,8.778876167096803795e-02,9.949807189423133247e-01,1.388419605682922331e-01,1.570125401564259171e+00,6.118837644357351131e-04
9.000000000000000222e-01,8.878370989258833890e-02,9.949156907525944504e-01,1.404120859698563262e-01,1.570125401564259171e+00,6.112128392554330280e-04
9.000000000000000222e-01,8.977859298524488996e-02,9.948504608779252800e-01,1.419822113714208633e-01,1.570125401564259171e+00,6.105419140751305093e-04
9.000000000000000222e-01,9.077341074684205924e-02,9.947850284967141299e-01,1.435523367729849564e-01,1.570125401564259171e+00,6.098709888948282073e-04
9.000000000000000222e-01,9.176816297446097059e-02,9.947193927832505000e-01,1.451224621745492716e-01,1.570125401564259171e+00,6.092000637145259054e-04
9.000000000000000222e-01,9.276284946435456313e-02,9.946535529076827586e-01,1.466925875761133646e-01,1.570125401564259171e+00,6.085291385342236035e-04
9.000000000000000222e-01,9.375747001194438546e-02,9.945875080359918297e-01,1.482627129776779018e-01,1.570125401564259171e+00,6.078582133539210848e-04
9.000000000000000222e-01,9.475202441181519719e-02,9.945212573299685443e-01,1.498328383792419949e-01,1.570125401564259171e+00,6.071872881736189997e-04
9.000000000000000222e-01,9.574651245771212404e-02,9.944547999471859967e-01,1.514029637808063100e-01,1.570125401564259171e+00,6.065163629933164810e-04
9.000000000000000222e-01,9.674093394253520384e-02,9.943881350409781161e-01,1.529730891823704031e-01,1.570125401564259171e+00,6.058454378130141791e-04
9.000000000000000222e-01,9.773528865833602808e-02,9.943212617604106907e-01,1.545432145839349403e-01,1.570125401564259171e+00,6.051745126327118772e-04
9.000000000000000222e-01,9.872957639631275983e-02,9.942541792502597175e-01,1.561133399854990333e-01,1.570125401564259171e+00,6.045035874524095753e-04
9.000000000000000222e-01,9.972379694680690021e-02,9.941868866509825375e-01,1.576834653870633485e-01,1.570125401564259171e+00,6.038326622721070566e-04
9.000000000000000222e-01,1.007179500992971266e-01,9.941193830986945201e-01,1.592535907886274416e-01,1.570125401564259171e+00,6.031617370918047547e-04
9.000000000000000222e-01,1.017120356423972249e-01,9.940516677251418631e-01,1.608237161901919787e-01,1.570125401564259171e+00,6.024908119115024527e-04
9.000000000000000222e-01,1.027060533638494977e-01,9.939837396576761686e-01,1.623938415917560718e-01,1.570125401564259171e+00,6.018198867312001508e-04
9.000000000000000222e-01,1.037000030505221965e-01,9.939155980192275752e-01,1.639639669933203869e-01,1.570125401564259171e+00,6.011489615508978489e-04
