# s_error_dp, s_error_pinn
8.292867224988064844e-04,5.291638667673330670e-04
8.293055986122755416e-04,5.662030071766090654e-04
1.368761629267687893e-03,6.372574973317482808e-04
8.121428504894505308e-04,7.379544541230235576e-04
7.098351694753813430e-04,7.547849443048812402e-04
6.970105520678496289e-04,7.387062436879308349e-04
1.389059197790239696e-03,7.893395983692712455e-04
2.163398204029113399e-04,7.974487650172543780e-04
2.008889041165801376e-04,8.034652330316082846e-04
1.038249004243767650e-03,8.340165275071816315e-04
5.606540354537279010e-04,8.316730353274411720e-04
8.408369243395852040e-04,8.563051817789706956e-04
1.241139408312841481e-03,8.561489484829304776e-04
2.344687515130019942e-04,8.622940311288157739e-04
4.184128308464163024e-04,8.675425317100540334e-04
1.572624131570147848e-04,8.780123226440170355e-04
4.149186557029074579e-04,8.949846898233548322e-04
1.119467751394098709e-03,9.081881517319716993e-04
1.246317661988516345e-03,9.128660311465871787e-04
1.186677303865864893e-03,9.160571756334184683e-04
7.660292594550486937e-04,9.171136659138367673e-04
2.603193469017531583e-04,9.144308100657453156e-04
1.160134063788929165e-03,9.131068305803526595e-04
1.026669432134675285e-03,9.152990272846518120e-04
1.155537357016482450e-03,9.352901220791866831e-04
9.490566913532158750e-04,9.727560112083064947e-04
4.583828928369459944e-04,1.046042335177725050e-03
5.105103531442789456e-04,1.094125732699387102e-03
3.939314535268154745e-04,1.109123022392015162e-03
7.722487060995112274e-04,1.139687907086553995e-03
1.086877408004193130e-03,1.171521536020975239e-03
1.282652450681049565e-03,1.161396777897808754e-03
1.290465076779382086e-03,1.281327738111558492e-03
9.752955039165398356e-04,1.307982667340447077e-03
9.902012561926725603e-04,1.415949298544577411e-03
9.492602194042169643e-04,1.410458854792664019e-03
9.297629446398964631e-04,1.417011829473379444e-03
1.117241346832719383e-03,1.362824879977264777e-03
1.393451129343930076e-03,1.369125910998069632e-03
1.366186157697116352e-03,1.213778766002510763e-03
1.122866549262435806e-03,1.214741811023655436e-03
8.083805905355168986e-04,1.271454011489944183e-03
6.455240158962232159e-04,1.187401140518580317e-03
4.602946941660164787e-04,1.062304964249024186e-03
5.383585998975593196e-04,9.695189454036670781e-04
7.575349615158877715e-04,9.476828440403219393e-04
5.755010771072018808e-04,8.534441118674350978e-04
1.435249428567116894e-03,8.514832238368146358e-04
9.352009557785969643e-04,7.598731060904252840e-04
1.108877524819114899e-03,7.343290607021221847e-04
3.897530358919367821e-04,6.691421523753175076e-04
1.152117430690709904e-03,6.256530402257395092e-04
9.757476926116744010e-04,3.454421573316907566e-04
8.491608220890041383e-04,3.528662748976676370e-04
7.782177760629400325e-04,2.898963162295171720e-04
4.470833225674831699e-04,1.495482886949330568e-04
1.175470272980492885e-03,1.940148639475047126e-04
1.144527903195950757e-03,1.516701742579123970e-04
4.180111092008817150e-04,1.340794842139575872e-04
1.035321581406748771e-03,1.242622400595627880e-04
1.320895961788276941e-03,1.526771099359271850e-04
1.091654563828864302e-03,1.276532578231700729e-04
4.034347765491844259e-04,1.392959564468784035e-04
6.241135947590410954e-04,2.286705662693960838e-04
5.425228330264353013e-04,2.153880998449212629e-04
1.220203692089690461e-03,2.823402326116041428e-04
3.804019361970821978e-04,4.429882898469087978e-04
4.138765719101903545e-04,4.161457839798286275e-04
1.886103213702476319e-04,5.046140124438127077e-04
4.436048404770284725e-04,5.497665719390791399e-04
1.083359409087631493e-03,5.894576734914964500e-04
1.173045369254932567e-03,6.497144283057368179e-04
3.742815257778921612e-04,8.431660430161073971e-04
7.273445045403767028e-04,7.980424955231519169e-04
4.872414857735396314e-04,1.111808104639304103e-03
7.600456154790557334e-04,9.470266010579512497e-04
1.133410485835725876e-03,1.001474116984045742e-03
4.807690690809885738e-04,1.082812502248871453e-03
1.835016382240957009e-04,1.076626718410539623e-03
4.492717216422710612e-04,1.129711683445215392e-03
6.583779197721798893e-04,1.239123745474289247e-03
1.183900063846539917e-03,1.218048241765941906e-03
1.339771479811113167e-03,1.289290597186275268e-03
2.640483822506312301e-04,1.389011434131762765e-03
4.497974859528272302e-04,1.416210489289835639e-03
2.164788583093644558e-04,1.291107687773486055e-03
1.051080984440234001e-03,1.203951913161793773e-03
8.835089598552636021e-04,9.738263047794447477e-04
1.284843196756507927e-03,9.912605589936448764e-04
1.306320085372568527e-03,9.422725541326545506e-04
2.114767367795830557e-04,8.690525668861099262e-04
4.846016157718809991e-04,7.363301764648605115e-04
1.093904641882705931e-04,7.560895556524466253e-04
1.220033321598198951e-03,7.485786189277228355e-04
1.257872943979277281e-03,7.173786373367095192e-04
1.079437359549658424e-03,6.649450864627208914e-04
1.662793463687261522e-04,5.439776095698235043e-04
2.465611312563003297e-04,4.956023513398684832e-04
1.561996044476498776e-04,3.755522326502450147e-04
3.954516549024432621e-04,3.181570287582740383e-04
6.711917259229474228e-04,1.716346743176078995e-04
9.593655605562524582e-04,1.993579213414489032e-04
1.083743342306708662e-03,3.295920869017268337e-04
